quarter,stock,date,open,high,low,close,volume
1,AA,1/7/11,$15.82 ,$16.72 ,$15.78 ,$16.42 ,239655616
1,AA,1/14/11,$16.71 ,$16.71 ,$15.64 ,$15.97 ,242963398
1,AA,1/21/11,$16.19 ,$16.38 ,$15.60 ,$15.79 ,138428495
1,AA,1/28/11,$15.87 ,$16.63 ,$15.82 ,$16.13 ,151379173
1,AA,2/4/11,$16.18 ,$17.39 ,$16.18 ,$17.14 ,154387761
1,AA,2/11/11,$17.33 ,$17.48 ,$16.97 ,$17.37 ,114691279
1,AA,2/18/11,$17.39 ,$17.68 ,$17.28 ,$17.28 ,80023895
1,AA,2/25/11,$16.98 ,$17.15 ,$15.96 ,$16.68 ,132981863
1,AA,3/4/11,$16.81 ,$16.94 ,$16.13 ,$16.58 ,109493077
1,AA,3/11/11,$16.58 ,$16.75 ,$15.42 ,$16.03 ,114332562
1,AA,3/18/11,$15.95 ,$16.33 ,$15.43 ,$16.11 ,130374108
1,AA,3/25/11,$16.38 ,$17.24 ,$16.26 ,$17.09 ,95550392
1,AXP,1/7/11,$43.30 ,$45.60 ,$43.11 ,$44.36 ,45102042
1,AXP,1/14/11,$44.20 ,$46.25 ,$44.01 ,$46.25 ,25913713
1,AXP,1/21/11,$46.03 ,$46.71 ,$44.71 ,$46.00 ,38824728
1,AXP,1/28/11,$46.05 ,$46.27 ,$43.42 ,$43.86 ,51427274
1,AXP,2/4/11,$44.13 ,$44.23 ,$43.15 ,$43.82 ,39501680
1,AXP,2/11/11,$43.96 ,$46.79 ,$43.88 ,$46.75 ,43746998
1,AXP,2/18/11,$46.42 ,$46.93 ,$45.53 ,$45.53 ,28564910
1,AXP,2/25/11,$44.94 ,$45.12 ,$43.01 ,$43.53 ,39654146
1,AXP,3/4/11,$43.73 ,$44.68 ,$42.75 ,$43.72 ,38985037
1,AXP,3/11/11,$43.86 ,$45.54 ,$43.53 ,$44.28 ,37613429
1,AXP,3/18/11,$43.86 ,$44.47 ,$42.19 ,$44.17 ,41757526
1,AXP,3/25/11,$44.75 ,$45.61 ,$44.10 ,$45.59 ,30798332
1,BA,1/7/11,$66.15 ,$70.10 ,$66.00 ,$69.38 ,36258120
1,BA,1/14/11,$69.42 ,$70.50 ,$68.35 ,$70.07 ,18834664
1,BA,1/21/11,$70.86 ,$72.99 ,$70.23 ,$71.68 ,29594221
1,BA,1/28/11,$71.52 ,$72.82 ,$69.00 ,$69.23 ,34929673
1,BA,2/4/11,$69.26 ,$71.64 ,$69.12 ,$71.38 ,22770062
1,BA,2/11/11,$71.43 ,$72.99 ,$71.15 ,$72.14 ,21809411
1,BA,2/18/11,$72.70 ,$73.04 ,$71.09 ,$73.04 ,15989248
1,BA,2/25/11,$72.35 ,$74.29 ,$70.00 ,$72.30 ,26258425
1,BA,3/4/11,$72.47 ,$72.90 ,$68.60 ,$71.80 ,27527285
1,BA,3/11/11,$71.60 ,$72.50 ,$69.91 ,$71.64 ,25556296
1,BA,3/18/11,$71.17 ,$71.23 ,$67.34 ,$69.10 ,29746370
1,BA,3/25/11,$70.29 ,$73.50 ,$70.03 ,$73.34 ,24423545
1,BAC,1/7/11,$13.85 ,$14.69 ,$13.80 ,$14.25 ,1453438639
1,BAC,1/14/11,$14.17 ,$15.25 ,$14.09 ,$15.25 ,760935694
1,BAC,1/21/11,$15.08 ,$15.16 ,$13.94 ,$14.25 ,982445809
1,BAC,1/28/11,$14.25 ,$14.26 ,$13.40 ,$13.60 ,1054415375
1,BAC,2/4/11,$13.71 ,$14.47 ,$13.64 ,$14.29 ,757192224
1,BAC,2/11/11,$14.51 ,$14.87 ,$14.35 ,$14.77 ,746465458
1,BAC,2/18/11,$14.77 ,$14.95 ,$14.69 ,$14.75 ,458423511
1,BAC,2/25/11,$14.38 ,$14.52 ,$13.79 ,$14.20 ,712456757
1,BAC,3/4/11,$14.27 ,$14.48 ,$13.81 ,$14.12 ,699671790
1,BAC,3/11/11,$14.18 ,$14.70 ,$13.92 ,$14.38 ,805210688
1,BAC,3/18/11,$14.26 ,$14.35 ,$13.66 ,$14.04 ,792380862
1,BAC,3/25/11,$14.20 ,$14.22 ,$13.32 ,$13.34 ,717678994
1,CAT,1/7/11,$94.38 ,$94.81 ,$92.30 ,$93.73 ,24135903
1,CAT,1/14/11,$93.21 ,$94.70 ,$92.51 ,$94.01 ,19707235
1,CAT,1/21/11,$94.16 ,$96.80 ,$92.37 ,$92.75 ,28651009
1,CAT,1/28/11,$92.71 ,$97.79 ,$92.51 ,$95.68 ,34929068
1,CAT,2/4/11,$96.13 ,$99.72 ,$95.85 ,$99.59 ,31169285
1,CAT,2/11/11,$99.62 ,$103.55 ,$98.75 ,$103.54 ,27632394
1,CAT,2/18/11,$103.56 ,$105.86 ,$102.01 ,$105.86 ,16331886
1,CAT,2/25/11,$104.86 ,$105.30 ,$98.03 ,$102.00 ,28146727
1,CAT,3/4/11,$102.72 ,$104.43 ,$99.35 ,$103.04 ,29851515
1,CAT,3/11/11,$103.42 ,$104.45 ,$97.01 ,$100.02 ,38614049
1,CAT,3/18/11,$102.59 ,$105.64 ,$98.55 ,$105.06 ,54195667
1,CAT,3/25/11,$106.90 ,$110.15 ,$105.64 ,$109.09 ,37837456
1,CSCO,1/7/11,$20.45 ,$21.00 ,$20.38 ,$20.97 ,303545878
1,CSCO,1/14/11,$20.94 ,$21.23 ,$20.70 ,$21.21 ,154708263
1,CSCO,1/21/11,$21.22 ,$21.33 ,$20.50 ,$20.72 ,193706863
1,CSCO,1/28/11,$20.84 ,$21.61 ,$20.73 ,$20.93 ,265687272
1,CSCO,2/4/11,$20.93 ,$22.15 ,$20.71 ,$22.05 ,236334561
1,CSCO,2/11/11,$22.11 ,$22.34 ,$18.61 ,$18.70 ,1000362015
1,CSCO,2/18/11,$18.84 ,$18.95 ,$18.56 ,$18.85 ,390258123
1,CSCO,2/25/11,$18.73 ,$18.74 ,$18.23 ,$18.64 ,285212201
1,CSCO,3/4/11,$18.62 ,$18.79 ,$18.31 ,$18.40 ,302059981
1,CSCO,3/11/11,$18.36 ,$18.37 ,$17.76 ,$17.95 ,311209442
1,CSCO,3/18/11,$17.81 ,$17.88 ,$16.97 ,$17.14 ,444161658
1,CSCO,3/25/11,$17.34 ,$17.64 ,$17.20 ,$17.28 ,284574143
1,CVX,1/7/11,$91.66 ,$92.48 ,$90.27 ,$91.19 ,35556288
1,CVX,1/14/11,$90.95 ,$92.85 ,$90.12 ,$92.83 ,28260512
1,CVX,1/21/11,$92.94 ,$93.94 ,$91.58 ,$93.78 ,27752622
1,CVX,1/28/11,$93.89 ,$94.97 ,$92.93 ,$93.37 ,42303108
1,CVX,2/4/11,$93.85 ,$97.44 ,$93.37 ,$97.11 ,48766293
1,CVX,2/11/11,$97.28 ,$98.23 ,$95.70 ,$96.45 ,38838595
1,CVX,2/18/11,$95.50 ,$98.72 ,$95.50 ,$98.72 ,28037827
1,CVX,2/25/11,$99.23 ,$103.94 ,$99.23 ,$102.10 ,57897831
1,CVX,3/4/11,$102.28 ,$104.99 ,$102.18 ,$103.75 ,48214502
1,CVX,3/11/11,$104.12 ,$104.77 ,$97.60 ,$99.93 ,43673568
1,CVX,3/18/11,$99.16 ,$103.97 ,$97.98 ,$102.80 ,56186791
1,CVX,3/25/11,$103.86 ,$107.01 ,$103.20 ,$106.78 ,39606692
1,DD,1/7/11,$50.05 ,$50.54 ,$49.28 ,$49.76 ,27658789
1,DD,1/14/11,$48.30 ,$49.80 ,$47.20 ,$49.80 ,34546875
1,DD,1/21/11,$49.53 ,$50.14 ,$47.65 ,$48.35 ,25611091
1,DD,1/28/11,$48.44 ,$50.66 ,$48.26 ,$50.29 ,45429653
1,DD,2/4/11,$50.15 ,$52.63 ,$50.09 ,$52.53 ,31069977
1,DD,2/11/11,$52.62 ,$54.75 ,$52.51 ,$54.58 ,37155830
1,DD,2/18/11,$54.44 ,$55.98 ,$53.80 ,$55.98 ,27705910
1,DD,2/25/11,$54.95 ,$55.30 ,$52.36 ,$54.07 ,33190716
1,DD,3/4/11,$54.22 ,$54.95 ,$52.76 ,$53.87 ,32958368
1,DD,3/11/11,$54.10 ,$54.49 ,$51.82 ,$52.90 ,27091813
1,DD,3/18/11,$53.18 ,$53.50 ,$51.10 ,$52.99 ,39779608
1,DD,3/25/11,$53.80 ,$54.64 ,$52.89 ,$54.10 ,24464568
1,DIS,1/7/11,$37.74 ,$40.00 ,$37.62 ,$39.45 ,72917621
1,DIS,1/14/11,$39.01 ,$39.81 ,$38.92 ,$39.29 ,31943413
1,DIS,1/21/11,$39.07 ,$39.94 ,$38.51 ,$39.74 ,36187032
1,DIS,1/28/11,$39.64 ,$39.95 ,$38.65 ,$38.85 ,42131642
1,DIS,2/4/11,$39.04 ,$40.77 ,$38.64 ,$40.71 ,53521486
1,DIS,2/11/11,$40.80 ,$44.05 ,$40.71 ,$43.41 ,83975520
1,DIS,2/18/11,$43.19 ,$43.90 ,$42.98 ,$43.56 ,33868302
1,DIS,2/25/11,$42.83 ,$43.28 ,$41.60 ,$42.95 ,56966763
1,DIS,3/4/11,$43.02 ,$44.34 ,$42.97 ,$43.55 ,53096584
1,DIS,3/11/11,$43.53 ,$43.61 ,$42.16 ,$42.93 ,41229388
1,DIS,3/18/11,$42.64 ,$42.67 ,$40.42 ,$41.23 ,65060004
1,DIS,3/25/11,$41.46 ,$43.24 ,$40.87 ,$42.97 ,40696371
1,GE,1/7/11,$18.49 ,$18.72 ,$18.12 ,$18.43 ,280146510
1,GE,1/14/11,$18.61 ,$18.82 ,$18.46 ,$18.82 ,215626229
1,GE,1/21/11,$18.98 ,$19.97 ,$18.17 ,$19.74 ,449508777
1,GE,1/28/11,$19.93 ,$20.74 ,$19.74 ,$20.20 ,437317986
1,GE,2/4/11,$20.13 ,$20.96 ,$20.10 ,$20.56 ,246591055
1,GE,2/11/11,$20.77 ,$21.44 ,$20.73 ,$21.33 ,252254376
1,GE,2/18/11,$21.51 ,$21.65 ,$21.24 ,$21.44 ,158691572
1,GE,2/25/11,$20.88 ,$21.21 ,$20.08 ,$20.82 ,268500170
1,GE,3/4/11,$20.95 ,$21.17 ,$20.16 ,$20.37 ,261175412
1,GE,3/11/11,$20.40 ,$20.79 ,$19.94 ,$20.36 ,303566341
1,GE,3/18/11,$19.96 ,$20.09 ,$18.60 ,$19.25 ,520516218
1,GE,3/25/11,$19.68 ,$19.93 ,$19.25 ,$19.75 ,227819072
1,HD,1/7/11,$35.20 ,$35.57 ,$34.18 ,$34.38 ,56576860
1,HD,1/14/11,$34.16 ,$35.89 ,$34.07 ,$35.89 ,41918450
1,HD,1/21/11,$35.97 ,$36.99 ,$35.48 ,$36.51 ,45249920
1,HD,1/28/11,$36.46 ,$38.12 ,$36.30 ,$36.70 ,63397367
1,HD,2/4/11,$37.13 ,$37.18 ,$36.38 ,$36.80 ,41844858
1,HD,2/11/11,$36.80 ,$37.48 ,$36.41 ,$37.48 ,36079400
1,HD,2/18/11,$37.47 ,$38.48 ,$37.27 ,$38.48 ,30619613
1,HD,2/25/11,$39.30 ,$39.38 ,$36.78 ,$37.08 ,54816070
1,HD,3/4/11,$37.15 ,$37.86 ,$36.33 ,$37.22 ,49763519
1,HD,3/11/11,$37.26 ,$37.78 ,$36.54 ,$37.14 ,49156185
1,HD,3/18/11,$36.92 ,$36.94 ,$35.43 ,$36.00 ,52758908
1,HD,3/25/11,$36.29 ,$37.82 ,$36.03 ,$37.42 ,40337534
1,HPQ,1/7/11,$42.22 ,$45.39 ,$42.22 ,$45.09 ,100020724
1,HPQ,1/14/11,$44.86 ,$46.25 ,$44.57 ,$46.25 ,65464211
1,HPQ,1/21/11,$46.14 ,$47.64 ,$45.76 ,$47.23 ,82623453
1,HPQ,1/28/11,$46.69 ,$47.83 ,$45.36 ,$45.51 ,84066350
1,HPQ,2/4/11,$45.41 ,$47.52 ,$45.13 ,$47.43 ,74475624
1,HPQ,2/11/11,$47.71 ,$49.39 ,$47.61 ,$48.64 ,84089936
1,HPQ,2/18/11,$48.45 ,$49.12 ,$47.54 ,$48.67 ,49401750
1,HPQ,2/25/11,$47.57 ,$48.55 ,$42.08 ,$42.68 ,211147488
1,HPQ,3/4/11,$43.06 ,$43.85 ,$42.06 ,$42.61 ,110702335
1,HPQ,3/11/11,$42.90 ,$43.05 ,$41.26 ,$41.73 ,85140794
1,HPQ,3/18/11,$41.31 ,$42.15 ,$40.10 ,$41.32 ,121051768
1,HPQ,3/25/11,$41.85 ,$43.28 ,$41.35 ,$42.53 ,78089358
1,IBM,1/7/11,$147.21 ,$148.86 ,$146.64 ,$147.93 ,23492843
1,IBM,1/14/11,$147.00 ,$150.00 ,$146.00 ,$150.00 ,15335348
1,IBM,1/21/11,$149.82 ,$156.78 ,$149.38 ,$155.50 ,35770931
1,IBM,1/28/11,$155.42 ,$164.35 ,$155.33 ,$159.21 ,32510483
1,IBM,2/4/11,$159.18 ,$164.20 ,$158.68 ,$164.00 ,25377163
1,IBM,2/11/11,$164.08 ,$166.25 ,$163.18 ,$163.85 ,26106753
1,IBM,2/18/11,$164.18 ,$164.84 ,$162.52 ,$164.84 ,14352613
1,IBM,2/25/11,$163.57 ,$164.26 ,$159.03 ,$162.28 ,21443811
1,IBM,3/4/11,$162.36 ,$164.31 ,$159.41 ,$161.83 ,21549118
1,IBM,3/11/11,$161.60 ,$167.72 ,$158.85 ,$162.43 ,31119857
1,IBM,3/18/11,$161.16 ,$161.98 ,$151.71 ,$155.89 ,41827781
1,IBM,3/25/11,$157.64 ,$162.74 ,$157.07 ,$162.18 ,25381792
1,INTC,1/7/11,$21.01 ,$21.21 ,$20.27 ,$20.66 ,386719626
1,INTC,1/14/11,$20.71 ,$21.33 ,$20.57 ,$21.08 ,274111012
1,INTC,1/21/11,$21.03 ,$21.20 ,$20.62 ,$20.82 ,218479469
1,INTC,1/28/11,$21.03 ,$21.94 ,$20.93 ,$21.46 ,325168191
1,INTC,2/4/11,$21.55 ,$21.71 ,$21.03 ,$21.68 ,277969054
1,INTC,2/11/11,$21.74 ,$21.86 ,$21.35 ,$21.76 ,236842359
1,INTC,2/18/11,$21.63 ,$22.14 ,$21.28 ,$22.14 ,201181541
1,INTC,2/25/11,$21.95 ,$22.19 ,$21.01 ,$21.86 ,256135777
1,INTC,3/4/11,$21.75 ,$22.08 ,$21.35 ,$21.56 ,291751623
1,INTC,3/11/11,$21.69 ,$21.74 ,$20.61 ,$20.87 ,289874871
1,INTC,3/18/11,$20.66 ,$20.88 ,$19.71 ,$19.93 ,347426088
1,INTC,3/25/11,$19.90 ,$20.60 ,$19.88 ,$20.37 ,229150771
1,JNJ,1/7/11,$62.63 ,$63.54 ,$62.53 ,$62.60 ,57774737
1,JNJ,1/14/11,$62.29 ,$62.98 ,$62.00 ,$62.55 ,34950419
1,JNJ,1/21/11,$62.21 ,$63.25 ,$62.01 ,$62.66 ,47999880
1,JNJ,1/28/11,$62.56 ,$62.72 ,$60.00 ,$60.01 ,86229071
1,JNJ,2/4/11,$60.16 ,$60.99 ,$59.69 ,$60.84 ,63641929
1,JNJ,2/11/11,$60.88 ,$61.17 ,$60.42 ,$60.70 ,42897125
1,JNJ,2/18/11,$60.69 ,$61.11 ,$60.33 ,$61.11 ,33273371
1,JNJ,2/25/11,$60.68 ,$61.08 ,$59.36 ,$59.64 ,46786798
1,JNJ,3/4/11,$59.93 ,$61.50 ,$59.77 ,$61.06 ,63576642
1,JNJ,3/11/11,$61.09 ,$61.10 ,$59.11 ,$59.69 ,53844149
1,JNJ,3/18/11,$59.49 ,$59.49 ,$57.50 ,$58.57 ,71716802
1,JNJ,3/25/11,$58.67 ,$59.16 ,$58.50 ,$58.98 ,47498000
1,JPM,1/7/11,$43.00 ,$44.95 ,$42.64 ,$43.64 ,234547885
1,JPM,1/14/11,$43.27 ,$44.97 ,$43.00 ,$44.91 ,144662779
1,JPM,1/21/11,$45.02 ,$45.54 ,$43.60 ,$45.29 ,182971761
1,JPM,1/28/11,$45.21 ,$45.88 ,$44.26 ,$44.54 ,154832501
1,JPM,2/4/11,$44.41 ,$46.00 ,$44.30 ,$44.59 ,137430065
1,JPM,2/11/11,$44.75 ,$46.89 ,$44.65 ,$46.57 ,162434145
1,JPM,2/18/11,$46.00 ,$48.00 ,$46.00 ,$48.00 ,131941706
1,JPM,2/25/11,$47.20 ,$47.27 ,$45.21 ,$46.68 ,139540125
1,JPM,3/4/11,$46.81 ,$47.18 ,$45.07 ,$45.52 ,139051830
1,JPM,3/11/11,$45.62 ,$47.10 ,$44.76 ,$45.74 ,140414285
1,JPM,3/18/11,$45.42 ,$46.18 ,$43.40 ,$45.74 ,226413618
1,JPM,3/25/11,$46.28 ,$46.38 ,$44.77 ,$45.86 ,117959443
1,KRFT,1/7/11,$31.76 ,$31.76 ,$31.14 ,$31.19 ,44971770
1,KRFT,1/14/11,$30.91 ,$31.72 ,$30.89 ,$31.34 ,24955086
1,KRFT,1/21/11,$31.41 ,$31.52 ,$30.89 ,$31.35 ,41200255
1,KRFT,1/28/11,$31.39 ,$31.77 ,$30.50 ,$30.53 ,55657855
1,KRFT,2/4/11,$30.53 ,$31.22 ,$30.21 ,$31.19 ,34764359
1,KRFT,2/11/11,$31.18 ,$31.25 ,$30.24 ,$30.66 ,65912258
1,KRFT,2/18/11,$30.67 ,$30.93 ,$30.26 ,$30.91 ,38172345
1,KRFT,2/25/11,$30.72 ,$32.20 ,$30.66 ,$31.71 ,50462721
1,KRFT,3/4/11,$31.82 ,$31.88 ,$31.28 ,$31.58 ,55211152
1,KRFT,3/11/11,$31.56 ,$31.79 ,$31.18 ,$31.70 ,41766976
1,KRFT,3/18/11,$31.51 ,$31.60 ,$30.45 ,$30.99 ,51736270
1,KRFT,3/25/11,$30.78 ,$31.49 ,$30.43 ,$31.26 ,41958399
1,KO,1/7/11,$65.88 ,$65.88 ,$62.56 ,$62.92 ,59802189
1,KO,1/14/11,$62.70 ,$63.86 ,$62.56 ,$63.13 ,31297830
1,KO,1/21/11,$63.21 ,$63.92 ,$62.72 ,$62.77 ,36000586
1,KO,1/28/11,$62.87 ,$63.31 ,$62.14 ,$62.21 ,42141599
1,KO,2/4/11,$62.32 ,$63.48 ,$61.89 ,$62.56 ,34863226
1,KO,2/11/11,$62.67 ,$64.75 ,$62.32 ,$63.57 ,46269528
1,KO,2/18/11,$63.67 ,$64.72 ,$62.55 ,$64.55 ,29937386
1,KO,2/25/11,$63.36 ,$64.40 ,$63.33 ,$64.31 ,32331825
1,KO,3/4/11,$64.17 ,$65.87 ,$63.86 ,$65.21 ,61665987
1,KO,3/11/11,$65.32 ,$65.84 ,$64.47 ,$64.81 ,44560041
1,KO,3/18/11,$64.34 ,$64.61 ,$61.29 ,$62.70 ,59542953
1,KO,3/25/11,$63.13 ,$65.39 ,$63.05 ,$65.22 ,29853434
1,MCD,1/7/11,$77.10 ,$77.59 ,$73.59 ,$74.37 ,85400677
1,MCD,1/14/11,$74.25 ,$74.49 ,$72.46 ,$74.06 ,44895850
1,MCD,1/21/11,$74.65 ,$75.75 ,$74.31 ,$75.01 ,40056497
1,MCD,1/28/11,$74.25 ,$75.85 ,$73.05 ,$73.28 ,46734907
1,MCD,2/4/11,$73.80 ,$74.50 ,$73.08 ,$74.05 ,41519549
1,MCD,2/11/11,$74.13 ,$76.32 ,$73.30 ,$76.14 ,39363816
1,MCD,2/18/11,$76.07 ,$76.45 ,$75.70 ,$76.13 ,16734140
1,MCD,2/25/11,$75.95 ,$76.45 ,$74.42 ,$74.44 ,27881213
1,MCD,3/4/11,$74.51 ,$76.63 ,$73.64 ,$76.03 ,41047787
1,MCD,3/11/11,$76.38 ,$77.25 ,$74.97 ,$76.73 ,34855064
1,MCD,3/18/11,$76.10 ,$76.41 ,$72.89 ,$72.99 ,40853280
1,MCD,3/25/11,$73.50 ,$75.75 ,$73.38 ,$75.25 ,23877441
1,MMM,1/7/11,$86.75 ,$87.90 ,$85.63 ,$86.23 ,16166921
1,MMM,1/14/11,$85.70 ,$88.80 ,$85.70 ,$88.10 ,11585909
1,MMM,1/21/11,$87.84 ,$89.39 ,$87.25 ,$89.29 ,10705548
1,MMM,1/28/11,$89.21 ,$90.50 ,$87.20 ,$87.44 ,26110543
1,MMM,2/4/11,$87.93 ,$88.45 ,$87.31 ,$88.29 ,14960948
1,MMM,2/11/11,$88.17 ,$91.95 ,$87.81 ,$91.80 ,16315175
1,MMM,2/18/11,$91.72 ,$92.96 ,$91.00 ,$92.96 ,13431331
1,MMM,2/25/11,$92.73 ,$93.65 ,$89.27 ,$90.25 ,17249356
1,MMM,3/4/11,$91.90 ,$93.40 ,$90.24 ,$92.19 ,17453306
1,MMM,3/11/11,$92.58 ,$94.16 ,$89.71 ,$91.61 ,18144593
1,MMM,3/18/11,$91.21 ,$91.21 ,$86.91 ,$88.98 ,23633329
1,MMM,3/25/11,$90.27 ,$92.98 ,$90.17 ,$92.27 ,14970403
1,MRK,1/7/11,$36.29 ,$37.35 ,$35.85 ,$37.35 ,72760487
1,MRK,1/14/11,$37.26 ,$37.61 ,$34.23 ,$34.23 ,108158891
1,MRK,1/21/11,$34.07 ,$34.30 ,$33.48 ,$33.90 ,131132702
1,MRK,1/28/11,$33.99 ,$33.99 ,$33.00 ,$33.07 ,110066602
1,MRK,2/4/11,$33.29 ,$34.04 ,$32.51 ,$32.89 ,114880019
1,MRK,2/11/11,$32.94 ,$33.30 ,$32.74 ,$33.07 ,62039482
1,MRK,2/18/11,$32.97 ,$33.19 ,$32.65 ,$32.85 ,54419625
1,MRK,2/25/11,$32.75 ,$32.80 ,$31.85 ,$32.19 ,57467917
