start,IATA,PNRs
1/3/19,YYZ,2991
1/3/19,CLE,1381
1/3/19,CMH,1435
1/3/19,PEK,1071
1/3/19,SFO,3988
1/3/19,AUS,2225
1/3/19,SJC,3906
1/3/19,DEN,2233
1/3/19,DFW,6852
1/3/19,MEX,1232
1/3/19,MAD,739
1/3/19,SHA,2508
1/3/19,WAS,4744
1/3/19,BOS,4469
1/3/19,RDU,2187
1/3/19,CPH,1310
1/3/19,LAX,3069
1/3/19,SNA,1838
1/3/19,PIT,1610
1/3/19,PHL,3621
1/3/19,ATL,4885
1/3/19,MIA,1288
1/3/19,SEA,3406
1/3/19,FRA,1121
1/3/19,MSP,2343
1/3/19,PDX,1605
1/3/19,SAT,1553
1/3/19,BNA,1640
1/3/19,PAR,6940
1/3/19,CLT,3062
1/3/19,EWR,5463
1/3/19,LON,7331
1/3/19,NYC,8914
1/3/19,STL,1462
1/3/19,SAN,1538
1/3/19,DTW,2589
1/3/19,CHI,6418
1/3/19,MUC,1657
1/3/19,AMS,1389
1/3/19,IND,1420
1/3/19,YUL,999
1/3/19,PHX,2859
1/3/19,SYD,621
1/3/19,MIL,1092
1/3/19,HOU,3927
1/3/19,STO,1087
1/3/19,SIN,1236
1/3/19,MCO,1727
1/3/19,LAS,3775
1/3/19,TLS,1217
1/10/19,PAR,10895
1/10/19,CPH,1610
1/10/19,PEK,1480
1/10/19,ATL,6460
1/10/19,DEN,2739
1/10/19,SIN,1939
1/10/19,MUC,2326
1/10/19,AUS,3144
1/10/19,SAT,2117
1/10/19,FRA,2396
1/10/19,EWR,7192
1/10/19,LAS,1516
1/10/19,PHX,4187
1/10/19,TLS,2143
1/10/19,MAD,1379
1/10/19,MSP,3029
1/10/19,MEX,2119
1/10/19,MIA,2442
1/10/19,DTW,4303
1/10/19,STO,1866
1/10/19,RDU,2400
1/10/19,PDX,2046
1/10/19,CHI,8508
1/10/19,STL,1905
1/10/19,SYD,1232
1/10/19,BNA,2204
1/10/19,CLE,1559
1/10/19,CLT,3809
1/10/19,SFO,5746
1/10/19,SJC,5224
1/10/19,PIT,1818
1/10/19,SAN,2075
1/10/19,LON,9373
1/10/19,HOU,5124
1/10/19,SNA,2277
1/10/19,YUL,1698
1/10/19,YYZ,3728
1/10/19,CMH,1772
1/10/19,SHA,3896
1/10/19,MIL,2056
1/10/19,IND,1795
1/10/19,MCO,2694
1/10/19,AMS,2085
1/10/19,LAX,4157
1/10/19,BOS,6256
1/10/19,NYC,15895
1/10/19,PHL,4261
1/10/19,WAS,6063
1/10/19,DFW,8314
1/10/19,SEA,4648
1/17/19,YUL,1885
1/17/19,CHI,8515
1/17/19,RDU,2391
1/17/19,AMS,2184
1/17/19,IND,1826
1/17/19,EWR,6746
1/17/19,MSP,2891
1/17/19,HOU,5351
1/17/19,PDX,1952
1/17/19,DFW,7935
1/17/19,BNA,2132
1/17/19,STL,1976
1/17/19,PHL,4124
1/17/19,SJC,4226
1/17/19,LAX,3637
1/17/19,MIA,1856
1/17/19,MIL,1833
1/17/19,CMH,1632
1/17/19,DTW,3506
1/17/19,PHX,4497
1/17/19,SFO,4967
1/17/19,SAN,2153
1/17/19,AUS,2716
1/17/19,MEX,2642
1/17/19,SYD,1621
1/17/19,CPH,1765
1/17/19,MCO,2212
1/17/19,ATL,6162
1/17/19,SIN,2120
1/17/19,CLT,3456
1/17/19,FRA,2548
1/17/19,MAD,1424
1/17/19,LAS,1374
1/17/19,STO,2091
1/17/19,SEA,4407
1/17/19,TLS,2060
1/17/19,PEK,1579
1/17/19,NYC,11324
1/17/19,DEN,3076
1/17/19,LON,9756
1/17/19,PAR,11286
1/17/19,MUC,3351
1/17/19,CLE,1566
1/17/19,SAT,2082
1/17/19,YYZ,4204
1/17/19,WAS,5270
1/17/19,SHA,4035
1/17/19,BOS,6100
1/17/19,SNA,2018
1/17/19,PIT,1835
1/24/19,DEN,3257
1/24/19,SNA,2289
1/24/19,PAR,11962
1/24/19,DFW,8368
1/24/19,MEX,2380
1/24/19,IND,2004
1/24/19,LAS,1227
1/24/19,FRA,2582
1/24/19,RDU,2343
1/24/19,SJC,4511
1/24/19,LON,8970
1/24/19,EWR,6777
1/24/19,CMH,1745
1/24/19,YYZ,4012
1/24/19,CLT,3973
1/24/19,STO,2178
1/24/19,MUC,3258
1/24/19,SIN,2125
1/24/19,YUL,1713
1/24/19,NYC,13357
1/24/19,MCO,2161
1/24/19,ATL,6559
1/24/19,PHL,4550
1/24/19,PEK,977
1/24/19,AMS,2165
1/24/19,PHX,4223
1/24/19,PDX,1977
1/24/19,PIT,1952
1/24/19,SAT,2000
1/24/19,STL,2081
1/24/19,CPH,1928
1/24/19,HOU,5139
1/24/19,LAX,4344
1/24/19,SYD,1538
1/24/19,MIA,2462
1/24/19,BNA,2089
1/24/19,DTW,3681
1/24/19,BOS,6073
1/24/19,SEA,5259
1/24/19,SAN,2506
1/24/19,MSP,2937
1/24/19,MIL,1880
1/24/19,MAD,1716
1/24/19,SHA,2224
1/24/19,WAS,6285
1/24/19,CLE,1680
1/24/19,AUS,3056
1/24/19,TLS,2199
1/24/19,CHI,8948
1/24/19,SFO,6025
1/31/19,BNA,2310
1/31/19,CPH,1795
1/31/19,CHI,9163
1/31/19,MIA,1863
1/31/19,PHX,4258
1/31/19,MUC,3149
1/31/19,SFO,5900
1/31/19,HOU,5159
1/31/19,AUS,3023
1/31/19,SYD,1977
1/31/19,PEK,138
1/31/19,DTW,3399
1/31/19,MSP,2727
1/31/19,CLT,3523
1/31/19,YYZ,4087
1/31/19,SNA,2411
1/31/19,MAD,1697
1/31/19,MIL,2018
1/31/19,SAN,2051
1/31/19,TLS,2197
1/31/19,MEX,2008
1/31/19,FRA,2592
1/31/19,IND,1891
1/31/19,PDX,2116
1/31/19,SHA,266
1/31/19,EWR,6296
1/31/19,ATL,6571
1/31/19,LAS,1494
1/31/19,CMH,1706
1/31/19,NYC,12978
1/31/19,LON,9517
1/31/19,CLE,1577
1/31/19,PHL,4418
1/31/19,PIT,1920
1/31/19,SAT,2211
1/31/19,YUL,2001
1/31/19,WAS,6169
1/31/19,DFW,8700
1/31/19,STL,2185
1/31/19,SEA,5358
1/31/19,PAR,10803
1/31/19,DEN,3110
1/31/19,AMS,2423
1/31/19,RDU,2486
1/31/19,SIN,387
1/31/19,BOS,6084
1/31/19,SJC,4325
1/31/19,STO,2229
1/31/19,LAX,4032
1/31/19,MCO,2335
2/7/19,SIN,1834
2/7/19,MAD,1659
2/7/19,PEK,388
2/7/19,MUC,3351
2/7/19,AUS,2555
2/7/19,IND,2120
2/7/19,SYD,2532
2/7/19,AMS,2506
2/7/19,TLS,1745
2/7/19,SHA,924
2/7/19,DTW,3381
2/7/19,YUL,1749
2/7/19,LAX,4001
2/7/19,BOS,5875
2/7/19,LON,10155
2/7/19,SNA,2085
2/7/19,PHX,3688
2/7/19,PAR,9182
2/7/19,ATL,6043
2/7/19,MIA,2376
2/7/19,FRA,2714
2/7/19,STL,2075
2/7/19,MIL,1946
2/7/19,SFO,11105
2/7/19,YYZ,4200
2/7/19,SEA,5086
2/7/19,PHL,4467
2/7/19,BNA,2100
2/7/19,CLE,1572
2/7/19,MEX,2453
2/7/19,SAT,2291
2/7/19,CLT,3600
2/7/19,NYC,12437
2/7/19,MCO,3544
2/7/19,LAS,1532
2/7/19,DFW,8129
2/7/19,STO,1951
2/7/19,SJC,5743
2/7/19,RDU,2511
2/7/19,CHI,8590
2/7/19,CMH,1884
2/7/19,DEN,3352
2/7/19,MSP,2977
2/7/19,PDX,2138
2/7/19,SAN,2608
2/7/19,PIT,1826
2/7/19,CPH,1087
2/7/19,WAS,5917
2/7/19,EWR,6680
2/7/19,HOU,5236
2/14/19,SYD,2494
2/14/19,SEA,3835
2/14/19,SHA,2828
2/14/19,MCO,2340
2/14/19,MSP,3095
2/14/19,MUC,3397
2/14/19,HOU,5144
2/14/19,STO,1703
2/14/19,BNA,2327
2/14/19,SAN,2083
2/14/19,MEX,2696
2/14/19,SIN,2339
2/14/19,NYC,9686
2/14/19,LAS,1627
2/14/19,LON,8366
2/14/19,PEK,1249
2/14/19,STL,2034
2/14/19,YYZ,3363
2/14/19,DFW,7860
2/14/19,DTW,3420
2/14/19,CPH,1562
2/14/19,PAR,8306
2/14/19,PHL,4150
2/14/19,MAD,1575
2/14/19,PHX,3930
2/14/19,RDU,2557
2/14/19,PDX,1962
2/14/19,PIT,1933
2/14/19,DEN,3087
2/14/19,MIL,2182
2/14/19,IND,2002
2/14/19,AMS,2225
2/14/19,TLS,1993
2/14/19,CLE,1687
2/14/19,CLT,3845
2/14/19,WAS,5435
2/14/19,EWR,5933
2/14/19,ATL,6180
2/14/19,YUL,1678
2/14/19,MIA,2304
2/14/19,SFO,4987
2/14/19,SAT,2416
2/14/19,CMH,1780
2/14/19,FRA,2588
2/14/19,LAX,3634
2/14/19,BOS,4348
2/14/19,AUS,2945
2/14/19,SJC,4379
2/14/19,CHI,8541
2/14/19,SNA,2043
2/21/19,CLE,1803
2/21/19,PDX,2477
2/21/19,EWR,6483
2/21/19,DFW,8818
2/21/19,SAN,2461
2/21/19,MEX,2781
2/21/19,LAS,2738
2/21/19,SHA,3854
2/21/19,TLS,1382
2/21/19,PEK,1518
2/21/19,MIA,2341
2/21/19,SNA,2418
2/21/19,LON,11597
2/21/19,ATL,6725
2/21/19,HOU,5800
2/21/19,RDU,2561
2/21/19,SIN,2629
2/21/19,SEA,5300
2/21/19,MUC,3482
2/21/19,CLT,4273
2/21/19,CHI,9377
2/21/19,MIL,2140
2/21/19,DEN,3451
2/21/19,DTW,3299
2/21/19,PHX,4769
2/21/19,AUS,3223
2/21/19,SYD,2457
2/21/19,MCO,2128
2/21/19,WAS,6918
2/21/19,PHL,4757
2/21/19,FRA,2784
2/21/19,YYZ,4874
2/21/19,SJC,5282
2/21/19,MAD,1715
2/21/19,YUL,2009
2/21/19,CMH,1852
2/21/19,PAR,7159
2/21/19,SFO,6864
2/21/19,BNA,2569
2/21/19,SAT,2438
2/21/19,STO,1240
2/21/19,LAX,4472
2/21/19,PIT,1984
2/21/19,IND,2049
2/21/19,STL,2308
2/21/19,CPH,1744
2/21/19,NYC,13043
2/21/19,MSP,3269
2/21/19,AMS,2262
2/21/19,BOS,6803
2/28/19,PHX,4028
2/28/19,WAS,6641
2/28/19,MCO,2090
2/28/19,SAT,2646
2/28/19,BNA,2413
2/28/19,HOU,5573
2/28/19,CHI,9270
2/28/19,CLE,1586
2/28/19,CMH,1815
2/28/19,ATL,6337
2/28/19,SIN,2225
2/28/19,DTW,3343
2/28/19,SFO,6244
2/28/19,PAR,6831
2/28/19,SEA,4869
2/28/19,DFW,8928
2/28/19,MSP,3207
2/28/19,PDX,2442
2/28/19,YYZ,3959
2/28/19,MIL,2083
2/28/19,DEN,3234
2/28/19,CPH,1897
2/28/19,MIA,2052
2/28/19,TLS,1201
2/28/19,LAS,1837
2/28/19,CLT,3810
2/28/19,MUC,2409
2/28/19,LAX,4339
2/28/19,STL,2187
2/28/19,IND,2167
2/28/19,FRA,2504
2/28/19,NYC,13131
2/28/19,MEX,2374
2/28/19,PEK,1446
2/28/19,STO,2116
2/28/19,LON,11282
2/28/19,PHL,4476
2/28/19,EWR,6172
2/28/19,SHA,3555
2/28/19,SNA,2553
2/28/19,YUL,1209
2/28/19,SYD,2743
2/28/19,PIT,1863
2/28/19,AUS,3512
2/28/19,AMS,2481
2/28/19,RDU,2317
2/28/19,SJC,4940
2/28/19,MAD,1588
2/28/19,SAN,2566
2/28/19,BOS,6674
3/7/19,EWR,6245
3/7/19,YUL,1643
3/7/19,ATL,6551
3/7/19,PIT,2027
3/7/19,NYC,13521
3/7/19,TLS,2018
3/7/19,CLE,1665
3/7/19,SJC,5529
3/7/19,AMS,2733
3/7/19,LAX,3963
3/7/19,CMH,2051
3/7/19,SNA,2614
3/7/19,WAS,6735
3/7/19,BNA,2426
3/7/19,LAS,1643
3/7/19,RDU,2453
3/7/19,LON,11848
3/7/19,PHL,4501
3/7/19,DEN,3576
3/7/19,MSP,3170
3/7/19,MCO,2082
3/7/19,PEK,1406
3/7/19,SEA,4819
3/7/19,CHI,9146
3/7/19,CPH,1924
3/7/19,PAR,11698
3/7/19,DTW,3365
3/7/19,BOS,6041
3/7/19,HOU,4625
3/7/19,SYD,2172
3/7/19,PDX,2419
3/7/19,FRA,2200
3/7/19,DFW,6712
3/7/19,YYZ,3084
3/7/19,SIN,2370
3/7/19,STO,2247
3/7/19,SFO,5707
3/7/19,STL,2352
3/7/19,MIL,2259
3/7/19,SAN,2454
3/7/19,CLT,4066
3/7/19,MIA,2138
3/7/19,IND,2047
3/7/19,PHX,4296
3/7/19,SHA,3720
3/7/19,MAD,1913
3/7/19,AUS,3173
3/7/19,MUC,3281
3/7/19,SAT,1867
3/7/19,MEX,2719
3/14/19,PDX,2466
3/14/19,CLT,3800
3/14/19,MAD,1909
3/14/19,FRA,3135
3/14/19,PEK,1454
3/14/19,SFO,5352
3/14/19,CLE,1744
3/14/19,MIL,2075
3/14/19,STO,2287
3/14/19,AMS,2802
3/14/19,CHI,9401
3/14/19,DTW,3646
3/14/19,MCO,3166
3/14/19,BNA,2309
3/14/19,YYZ,3833
3/14/19,AUS,2396
3/14/19,CPH,1857
3/14/19,HOU,5107
3/14/19,STL,1954
3/14/19,EWR,6096
3/14/19,IND,2123
3/14/19,DEN,3067
3/14/19,SIN,1984
3/14/19,MUC,3334
3/14/19,ATL,6313
3/14/19,DFW,7832
3/14/19,SJC,4870
3/14/19,MSP,2895
3/14/19,SYD,2549
3/14/19,NYC,12575
3/14/19,WAS,6752
3/14/19,BOS,5890
3/14/19,MEX,2121
3/14/19,RDU,2480
3/14/19,LAX,3825
3/14/19,SAT,2600
3/14/19,MIA,2054
3/14/19,PHL,4560
3/14/19,LON,12011
3/14/19,PIT,2019
3/14/19,SEA,4631
3/14/19,SAN,2391
3/14/19,TLS,2479
3/14/19,SHA,3572
3/14/19,PHX,3830
3/14/19,SNA,2165
3/14/19,CMH,1885
3/14/19,YUL,1944
3/14/19,PAR,11477
3/14/19,LAS,1753
3/21/19,FRA,3142
3/21/19,CPH,1886
3/21/19,MIA,1911
3/21/19,SJC,4813
3/21/19,MEX,2410
3/21/19,SNA,2065
3/21/19,PAR,11164
3/21/19,STL,2121
3/21/19,LAS,2793
3/21/19,MIL,2341
3/21/19,DTW,3535
3/21/19,CLT,3920
3/21/19,PIT,1891
3/21/19,MAD,1863
3/21/19,AMS,2802
3/21/19,SAN,2572
3/21/19,CLE,1561
3/21/19,LON,11400
3/21/19,DEN,2732
3/21/19,PDX,1806
3/21/19,DFW,8608
3/21/19,PHX,3668
3/21/19,SAT,2826
3/21/19,NYC,11908
3/21/19,CMH,1550
3/21/19,BOS,5926
3/21/19,STO,2226
3/21/19,MSP,2852
3/21/19,SIN,2224
3/21/19,MUC,3464
3/21/19,AUS,3587
3/21/19,WAS,5972
3/21/19,SYD,2419
3/21/19,MCO,2010
3/21/19,RDU,2597
3/21/19,PEK,1552
3/21/19,YYZ,4279
3/21/19,IND,1760
3/21/19,LAX,3901
3/21/19,SHA,3370
3/21/19,SFO,5300
3/21/19,EWR,6068
3/21/19,BNA,2375
3/21/19,ATL,6398
3/21/19,CHI,7327
3/21/19,TLS,2445
3/21/19,YUL,2001
3/21/19,PHL,4520
3/21/19,SEA,4659
3/21/19,HOU,5152
3/28/19,CPH,1950
3/28/19,CMH,1642
3/28/19,SIN,2067
3/28/19,LAS,1410
3/28/19,YUL,1831
3/28/19,TLS,1950
3/28/19,RDU,2435
3/28/19,SHA,2957
3/28/19,AMS,2452
3/28/19,PAR,11215
3/28/19,SAT,2307
3/28/19,LON,10696
3/28/19,WAS,6710
3/28/19,CLE,1844
3/28/19,YYZ,4000
3/28/19,IND,1597
3/28/19,SNA,1808
3/28/19,CLT,3404
3/28/19,BOS,7348
3/28/19,MIA,1883
3/28/19,MSP,3068
3/28/19,DEN,3040
3/28/19,STL,2129
3/28/19,SJC,4232
3/28/19,MCO,1982
3/28/19,ATL,4909
3/28/19,MUC,3315
3/28/19,FRA,2584
3/28/19,SYD,2120
3/28/19,AUS,3369
3/28/19,SEA,4108
3/28/19,STO,2126
3/28/19,EWR,5455
3/28/19,HOU,4945
3/28/19,SFO,4911
3/28/19,PEK,1407
3/28/19,BNA,2267
3/28/19,PHX,3531
3/28/19,CHI,8803
3/28/19,MIL,2086
3/28/19,DTW,2965
3/28/19,PIT,1834
3/28/19,LAX,3637
3/28/19,MAD,1801
3/28/19,SAN,2009
3/28/19,MEX,2342
3/28/19,NYC,12667
3/28/19,DFW,7754
3/28/19,PDX,1916
3/28/19,PHL,4108
4/4/19,LAS,2590
4/4/19,MCO,1944
4/4/19,SAN,2253
4/4/19,STO,2472
4/4/19,DEN,3657
4/4/19,SJC,4493
4/4/19,MSP,3587
4/4/19,MEX,2883
4/4/19,ATL,6598
4/4/19,FRA,3184
4/4/19,CPH,2114
4/4/19,IND,1962
4/4/19,CHI,10776
4/4/19,SAT,2454
4/4/19,PAR,10033
4/4/19,SNA,2209
4/4/19,DFW,8023
4/4/19,LON,10361
4/4/19,SYD,2305
4/4/19,SHA,3290
4/4/19,YUL,1953
4/4/19,LAX,4020
4/4/19,SIN,2137
4/4/19,WAS,6854
4/4/19,PHX,3956
4/4/19,MIA,1935
4/4/19,EWR,6432
4/4/19,CMH,1888
4/4/19,AMS,2791
4/4/19,PDX,2539
4/4/19,BNA,2338
4/4/19,PHL,4409
4/4/19,MIL,1505
4/4/19,CLT,4231
4/4/19,BOS,6912
4/4/19,CLE,1745
4/4/19,DTW,3689
4/4/19,NYC,13579
4/4/19,STL,2368
4/4/19,MUC,1753
4/4/19,RDU,2784
4/4/19,MAD,2384
4/4/19,AUS,3458
4/4/19,SFO,5260
4/4/19,PEK,1298
4/4/19,PIT,1894
4/4/19,HOU,4920
4/4/19,YYZ,4748
4/4/19,TLS,2039
4/4/19,SEA,3806
4/11/19,DEN,3189
4/11/19,SNA,1899
4/11/19,WAS,5872
4/11/19,BOS,5448
4/11/19,MEX,1061
4/11/19,YUL,1700
4/11/19,STO,1199
4/11/19,PAR,9026
4/11/19,PEK,1309
4/11/19,TLS,1881
4/11/19,PHL,4112
4/11/19,DTW,3677
4/11/19,CLT,3538
4/11/19,SJC,3868
4/11/19,SAN,2155
4/11/19,LAS,1305
4/11/19,PHX,3606
4/11/19,MAD,494
4/11/19,PDX,2338
4/11/19,HOU,4900
4/11/19,NYC,12160
4/11/19,CLE,1679
4/11/19,MUC,2303
4/11/19,STL,2207
4/11/19,MIA,1720
4/11/19,AMS,2336
4/11/19,EWR,5558
4/11/19,BNA,2848
4/11/19,MIL,2203
4/11/19,CMH,1867
4/11/19,SYD,1706
4/11/19,SIN,1759
4/11/19,SHA,3872
4/11/19,SFO,4768
4/11/19,FRA,2097
4/11/19,IND,2022
4/11/19,LON,7620
4/11/19,PIT,1932
4/11/19,MCO,2041
4/11/19,AUS,2963
4/11/19,CHI,9379
4/11/19,ATL,6933
4/11/19,RDU,2137
4/11/19,MSP,3439
4/11/19,SEA,4259
4/11/19,YYZ,4115
4/11/19,SAT,2478
4/11/19,CPH,738
4/11/19,DFW,7699
4/11/19,LAX,3767
4/18/19,PHX,3331
4/18/19,AMS,1451
4/18/19,NYC,10343
4/18/19,MAD,1134
4/18/19,CPH,1293
4/18/19,ATL,5814
4/18/19,MIA,1628
4/18/19,EWR,5382
4/18/19,DFW,7316
4/18/19,PDX,2222
4/18/19,FRA,1315
4/18/19,MCO,1827
4/18/19,IND,1985
4/18/19,STO,1550
4/18/19,PIT,1780
4/18/19,CMH,1784
4/18/19,DTW,2936
4/18/19,LAX,3713
4/18/19,MUC,1395
4/18/19,DEN,2928
4/18/19,SJC,4371
4/18/19,SYD,289
4/18/19,SNA,1924
4/18/19,SAN,1906
4/18/19,LON,6459
4/18/19,LAS,1168
4/18/19,SAT,2421
4/18/19,SEA,4617
4/18/19,MIL,378
4/18/19,WAS,5831
4/18/19,PEK,1309
4/18/19,BOS,6062
4/18/19,AUS,2948
4/18/19,HOU,4745
4/18/19,MSP,3133
4/18/19,PAR,5569
4/18/19,CLE,1598
4/18/19,RDU,2323
4/18/19,BNA,2785
4/18/19,TLS,1173
4/18/19,STL,2217
4/18/19,SIN,1412
4/18/19,PHL,4079
4/18/19,MEX,1826
4/18/19,YYZ,3330
4/18/19,SHA,3489
4/18/19,CLT,3512
4/18/19,SFO,5584
4/18/19,YUL,1389
4/18/19,CHI,8696
4/25/19,CLE,1932
4/25/19,SYD,2263
4/25/19,LAX,3863
4/25/19,MAD,690
4/25/19,ATL,6488
4/25/19,MIL,651
4/25/19,SFO,5379
4/25/19,SIN,1222
4/25/19,PIT,1813
4/25/19,STL,2062
4/25/19,BNA,2367
4/25/19,MSP,3130
4/25/19,CMH,1625
4/25/19,LAS,2988
4/25/19,MEX,1597
4/25/19,PAR,3208
4/25/19,CPH,1700
4/25/19,SHA,1454
4/25/19,MIA,1899
4/25/19,LON,9985
4/25/19,NYC,13326
4/25/19,FRA,1405
4/25/19,PHX,3451
4/25/19,CHI,9332
4/25/19,SEA,4880
4/25/19,AUS,2799
4/25/19,STO,1076
4/25/19,HOU,4524
4/25/19,RDU,2537
4/25/19,YYZ,3749
4/25/19,SNA,1840
4/25/19,TLS,546
4/25/19,EWR,6056
4/25/19,CLT,3776
4/25/19,SAN,2063
4/25/19,MUC,1555
4/25/19,IND,1994
4/25/19,AMS,1536
4/25/19,SJC,4327
4/25/19,PDX,1957
4/25/19,PEK,634
4/25/19,DTW,3435
4/25/19,SAT,2190
4/25/19,WAS,6734
4/25/19,YUL,1827
4/25/19,MCO,1929
4/25/19,DEN,3357
4/25/19,DFW,8275
4/25/19,PHL,4339
4/25/19,BOS,6769
5/2/19,PIT,2064
5/2/19,MAD,1821
5/2/19,BNA,2423
5/2/19,DFW,8225
5/2/19,MCO,3958
5/2/19,WAS,6658
5/2/19,LAX,3739
5/2/19,LAS,2076
5/2/19,CMH,1744
5/2/19,AUS,3182
5/2/19,STL,2301
5/2/19,PAR,3847
5/2/19,PHX,3528
5/2/19,TLS,660
5/2/19,LON,9970
5/2/19,MSP,3183
5/2/19,PHL,4444
5/2/19,RDU,2578
5/2/19,SNA,2157
5/2/19,STO,2283
5/2/19,NYC,13978
5/2/19,PEK,1337
5/2/19,AMS,2353
5/2/19,DTW,3378
5/2/19,YYZ,4188
5/2/19,PDX,2208
5/2/19,CLE,2459
5/2/19,DEN,3855
5/2/19,SEA,5076
5/2/19,MEX,3269
5/2/19,SFO,5552
5/2/19,SAT,2202
5/2/19,SIN,2221
5/2/19,MUC,3315
5/2/19,CLT,3746
5/2/19,HOU,5569
5/2/19,YUL,1847
5/2/19,SJC,4006
5/2/19,FRA,2428
5/2/19,CHI,10070
5/2/19,MIA,1782
